Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
abalone9-18,2,1,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,657.0,74.0,70.0,4.0,0.0,94.5945945945946,5.405405405405405,0.0,0.3179723502304148,0.09851351351351348,0.2247250572396219,83.88528025144055,89.46142762736004,26.493314286164683,17.635354740577945,8.857959545586738,0.35801776062384705,0.23831560460240467,0.11970215602144241,-9.101838513765781,-0.12299781775359163,-34.35522794714641,1.0,69.0,0.8,4.0,0.2,1.0,0.0,0.0,0.9452054794520548,1.0,0.971830985915493,0.43478856458100523,0.9072463768115943,0.9927937152829422,0.9459459459459459,0.745945945945946,0.25405405405405407,0.05405405405405406,0.9489078119215104,0.9459459459459459,0.9286892526329148,0.43478856458100523,0.9072463768115943,0.9570750527068994,0.6525821596244132,0.9459459459459459,0.039,0.001,0.038639,9.080000000000001E-4,38.639,0.908,383329.0,62583.0,8364.0,100.0,64.1891891891892,?
abalone9-18,2,2,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,658.0,73.0,69.0,4.0,0.0,94.52054794520548,5.47945205479452,0.0,0.0,0.07753424657534247,0.2141181340813191,72.1855072463768,94.06853719547532,22.386900147282347,16.719683585136107,5.6672165621462405,0.30666986503126503,0.22903676144022064,0.07763310359104439,-6.2364227442424145,-0.08543044855126596,-27.857464424343195,1.0,69.0,1.0,4.0,0.0,0.0,0.0,0.0,0.9452054794520548,1.0,0.971830985915493,NaN,0.8731884057971014,0.991858621936057,0.9452054794520548,0.9452054794520548,0.0547945205479452,0.0547945205479452,NaN,0.9452054794520548,NaN,NaN,0.8731884057971014,0.9591155876170422,NaN,0.9452054794520548,0.038,0.001,0.037293,5.96E-4,37.293,0.596,386341.0,62676.0,8271.0,98.63013698630137,60.95890410958904,?
abalone9-18,2,3,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,658.0,73.0,70.0,3.0,0.0,95.89041095890411,4.109589041095891,0.0,0.38655462184873846,0.0656164383561644,0.20427955596755484,61.08985507246378,89.74615387555656,22.386900147282347,15.539599845685007,6.84730030159734,0.30666986503126503,0.2128712307628083,0.09379863426845671,0.5926738195729984,0.008118819446205457,2.647413512696379,1.0,69.0,0.75,3.0,0.25,1.0,0.0,0.0,0.9583333333333334,1.0,0.9787234042553191,0.4894725051862805,0.9094202898550725,0.9942165845643295,0.958904109589041,0.708904109589041,0.2910958904109589,0.0410958904109589,0.9606164383561644,0.958904109589041,0.9470125327892741,0.48947250518628044,0.9094202898550725,0.9636764415393784,0.6893617021276596,0.958904109589041,0.038,0.001,0.038428,8.5E-4,38.428,0.85,385488.0,62676.0,8271.0,97.26027397260275,56.16438356164384,?
abalone9-18,2,4,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,658.0,73.0,71.0,2.0,0.0,97.26027397260275,2.73972602739726,0.0,0.6540284360189571,0.08753424657534248,0.20232552097636167,81.49565217391304,88.88768752454442,22.386900147282347,1084.3592703488032,-1061.9723702015208,0.30666986503126503,14.854236580120592,-14.547566715089326,-12.992747980749368,-0.1779828490513612,-58.03728026332676,1.0,69.0,0.5,2.0,0.5,2.0,0.0,0.0,0.971830985915493,1.0,0.9857142857142858,0.697076389614328,0.7898550724637681,0.9755408150009622,0.9726027397260274,0.4726027397260274,0.5273972602739726,0.0273972602739726,0.9733744935365619,0.9726027397260274,0.968232224396608,0.697076389614328,0.7898550724637681,0.954343982953621,0.8261904761904761,0.9726027397260274,0.037,0.001,0.036935,6.680000000000001E-4,36.935,0.668,393609.0,62676.0,8271.0,98.63013698630137,64.38356164383562,?
abalone9-18,2,5,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,658.0,73.0,72.0,1.0,0.0,98.63013698630137,1.36986301369863,0.0,0.850102669404517,0.0691780821917808,0.1679897257132277,64.40579710144925,73.80293980943654,22.386900147282347,11.371088421977138,11.015811725305209,0.30666986503126503,0.15576833454763203,0.150901530483633,-3.21822297444303,-0.04408524622524699,-14.375473840819833,1.0,69.0,0.25,1.0,0.75,3.0,0.0,0.0,0.9857142857142858,1.0,0.9928057553956835,0.8598172563316662,0.9492753623188406,0.9968082253172884,0.9863013698630136,0.2363013698630137,0.7636986301369864,0.0136986301369863,0.9864970645792565,0.9863013698630136,0.9853721719297753,0.8598172563316662,0.9492753623188406,0.9863286269741798,0.9249743062692704,0.9863013698630136,0.038,0.001,0.038223,8.100000000000001E-4,38.223,0.81,392893.0,62676.0,8271.0,98.63013698630137,61.64383561643836,?
abalone9-18,2,6,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,658.0,73.0,69.0,4.0,0.0,94.52054794520548,5.47945205479452,0.0,0.0,0.06602739726027397,0.20414875049523845,61.47246376811593,89.68868709680491,22.386900147282347,2153.3926063362997,-2131.0057061890175,0.30666986503126503,29.49852885392191,-29.19185898889065,1.7404292363191272,0.023841496387933248,7.774319914186092,1.0,69.0,1.0,4.0,0.0,0.0,0.0,0.0,0.9452054794520548,1.0,0.971830985915493,NaN,0.6485507246376812,0.9586762699983352,0.9452054794520548,0.9452054794520548,0.0547945205479452,0.0547945205479452,NaN,0.9452054794520548,NaN,NaN,0.6485507246376812,0.9350445434380961,NaN,0.9452054794520548,0.037,0.001,0.036095,6.31E-4,36.095,0.631,377971.0,62676.0,8271.0,97.26027397260275,57.534246575342465,?
abalone9-18,2,7,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,658.0,73.0,70.0,3.0,0.0,95.89041095890411,4.109589041095891,0.0,0.38655462184873846,0.08383561643835617,0.21231922205677592,78.05217391304349,93.27822102997081,22.386900147282347,1086.3601516627264,-1063.973251515444,0.30666986503126503,14.881645913188033,-14.574976048156767,-8.199606193938214,-0.11232337251970156,-36.62680469378697,1.0,69.0,0.75,3.0,0.25,1.0,0.0,0.0,0.9583333333333334,1.0,0.9787234042553191,0.4894725051862805,0.7318840579710145,0.9698452697279873,0.958904109589041,0.708904109589041,0.2910958904109589,0.0410958904109589,0.9606164383561644,0.958904109589041,0.9470125327892741,0.48947250518628044,0.7318840579710144,0.9398696132622288,0.6893617021276596,0.958904109589041,0.038,0.001,0.03771,8.129999999999999E-4,37.71,0.813,385978.0,62676.0,8271.0,97.26027397260275,60.95890410958904,?
abalone9-18,2,8,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,658.0,73.0,71.0,2.0,0.0,97.26027397260275,2.73972602739726,0.0,0.6540284360189571,0.062191780821917786,0.16293540194039924,57.90144927536229,71.58242333677889,22.386900147282347,12.760905168061123,9.625994979221224,0.30666986503126503,0.17480692011042634,0.1318629449208387,1.3326523464802125,0.018255511595619348,5.952822131303379,1.0,69.0,0.5,2.0,0.5,2.0,0.0,0.0,0.971830985915493,1.0,0.9857142857142858,0.697076389614328,0.8804347826086957,0.9893580452659336,0.9726027397260274,0.4726027397260274,0.5273972602739726,0.0273972602739726,0.9733744935365619,0.9726027397260274,0.968232224396608,0.697076389614328,0.8804347826086957,0.9741225098436647,0.8261904761904761,0.9726027397260274,0.037,0.001,0.036671999999999996,7.880000000000001E-4,36.672,0.788,395052.0,62676.0,8271.0,98.63013698630137,59.58904109589041,?
abalone9-18,2,9,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,658.0,73.0,68.0,5.0,0.0,93.15068493150685,6.8493150684931505,0.0,-0.02240896358543534,0.10534246575342462,0.23643180835073777,98.07536231884055,103.8716055202878,22.386900147282347,19.35024392138219,3.036656225900156,0.30666986503126503,0.2650718345394821,0.04159803049178296,-15.666823537881335,-0.2146140210668676,-69.98210308175787,0.9855072463768116,68.0,1.0,4.0,0.0,0.0,0.014492753623188406,1.0,0.9444444444444444,0.9855072463768116,0.9645390070921985,-0.02837521769195829,0.8387681159420289,0.9897025791212092,0.9315068493150684,0.9459996029382568,0.0540003970617431,0.0684931506849315,0.8926940639269407,0.9315068493150684,0.9116875546487904,-0.02837521769195829,0.838768115942029,0.9454520470943139,0.48226950354609927,0.9315068493150684,0.039,0.001,0.038560000000000004,5.96E-4,38.56,0.596,381236.0,62676.0,8271.0,98.63013698630137,65.06849315068493,?
abalone9-18,2,10,weka.classifiers.meta.MultiClassClassifier,'-M 0 -R 2.0 -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-3879602011542849141,2.0260615155399997E7,658.0,73.0,69.0,4.0,0.0,94.52054794520548,5.47945205479452,0.0,0.31775700934579426,0.0684931506849315,0.18009130104568838,57.95574288724972,71.23129805157724,26.40947170384566,11.837738226163067,14.571733477682594,0.36177358498418716,0.16216079761867214,0.199612787365515,4.268787586082688,0.05847654227510531,16.163850734890243,1.0,68.0,0.8,4.0,0.2,1.0,0.0,0.0,0.9444444444444444,1.0,0.9714285714285714,0.4346134936801766,0.961764705882353,0.9967679274508464,0.9452054794520548,0.7452054794520548,0.2547945205479452,0.0547945205479452,0.9482496194824961,0.9452054794520548,0.927723418134377,0.4346134936801766,0.9617647058823531,0.9843561211566484,0.6523809523809524,0.9452054794520548,0.038,0.0,0.038041,8.209999999999999E-4,38.041,0.821,402193.0,62676.0,8271.0,100.0,62.32876712328767,?
